model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
fresh-medicalnet-50,3,18,0.5722891688346863,0.8461538553237915,0.13750000298023224,0.23655913770198822,0.7819767594337463,0.7795801162719727,84,2,69,11,0.5727136135101318,0.9111111164093018,0.12732918560504913,0.2234332412481308,0.7817986011505127,0.777367353439331,341,4,281,41
fresh-medicalnet-50,4,16,0.5868263244628906,0.8333333134651184,0.18518517911434174,0.3030303120613098,0.7707435488700867,0.755364716053009,83,3,66,15,0.6026986241340637,0.9130434989929199,0.19565217196941376,0.322250634431839,0.7897740602493286,0.7869212627410889,339,6,259,63
fresh-resnet3d-18-1ch,1,18,0.7083333134651184,1.0,0.395061731338501,0.5663716793060303,0.8122605085372925,0.8472813367843628,87,0,49,32,0.6821589469909668,0.9435483813285828,0.36335402727127075,0.5246636867523193,0.8302637338638306,0.8405226469039917,338,7,205,117
fresh-resnet3d-18-1ch,2,4,0.6807228922843933,1.0,0.3375000059604645,0.5046728849411011,0.8337209224700928,0.8627287149429321,86,0,53,27,0.7046476602554321,0.956204354763031,0.4068323075771332,0.570806086063385,0.8375911116600037,0.8610749244689941,339,6,191,131
fresh-resnet3d-18-1ch,3,24,0.6867470145225525,0.9117646813392639,0.38749998807907104,0.5438596606254578,0.845494270324707,0.8215208649635315,83,3,49,31,0.6611694097518921,0.9137930870056152,0.32919254899024963,0.4840182662010193,0.8149068355560303,0.8039366602897644,335,10,216,106
fresh-resnet3d-18-1ch,4,29,0.6706587076187134,0.9642857313156128,0.3333333432674408,0.4954128563404083,0.8014642000198364,0.8251228928565979,85,1,54,27,0.6641679406166077,0.9375,0.32608696818351746,0.4838709533214569,0.8286884427070618,0.8384423851966858,338,7,217,105
fresh-resnet3d-18-3ch,1,11,0.6845238208770752,0.8684210777282715,0.40740740299224854,0.5546218752861023,0.8109833598136902,0.8336359262466431,82,5,48,33,0.691154420375824,0.9202898740768433,0.3944099247455597,0.552173912525177,0.8217030763626099,0.8458282947540283,334,11,195,127
fresh-resnet3d-18-3ch,2,7,0.6746987700462341,0.9333333373069763,0.3499999940395355,0.5090909004211426,0.8284884095191956,0.837617814540863,84,2,52,28,0.686656653881073,0.9448819160461426,0.3726707994937897,0.5345211625099182,0.8401116132736206,0.8569267392158508,338,7,202,120
fresh-resnet3d-18-3ch,3,25,0.6325300931930542,0.9130434989929199,0.26249998807907104,0.40776699781417847,0.8263081312179565,0.8340988755226135,84,2,59,21,0.6056971549987793,0.9402984976768494,0.19565217196941376,0.3239074647426605,0.7976056337356567,0.8053658604621887,341,4,259,63
fresh-resnet3d-18-3ch,4,19,0.7245509028434753,0.9268292784690857,0.4691357910633087,0.6229507923126221,0.8041917681694031,0.836074948310852,83,3,43,38,0.739130437374115,0.9512194991111755,0.48447203636169434,0.6419752836227417,0.8482311367988586,0.867577850818634,337,8,166,156
fresh-resnet3d-34-1ch,1,24,0.7142857313156128,0.9459459185600281,0.43209877610206604,0.5932203531265259,0.826876699924469,0.8270105123519897,85,2,46,35,0.7061469554901123,0.8841463327407837,0.4503105580806732,0.596707820892334,0.8255738615989685,0.8147278428077698,326,19,177,145
fresh-resnet3d-34-1ch,2,31,0.6204819083213806,0.7575757503509521,0.3125,0.44247788190841675,0.7175872325897217,0.7425692677497864,78,8,55,25,0.6776611804962158,0.8905109763145447,0.3788819909095764,0.5315904021263123,0.7934467792510986,0.8168956637382507,330,15,200,122
fresh-resnet3d-34-1ch,3,45,0.6385542154312134,0.8846153616905212,0.2874999940395355,0.43396225571632385,0.7902616262435913,0.7987942099571228,83,3,57,23,0.638680636882782,0.9009901285171509,0.28260868787765503,0.43026003241539,0.7593662738800049,0.7816318273544312,335,10,231,91
fresh-resnet3d-34-1ch,4,20,0.652694582939148,1.0,0.2839506268501282,0.4423076808452606,0.8024691939353943,0.8374817967414856,86,0,58,23,0.6506746411323547,0.9890109896659851,0.27950310707092285,0.4358353614807129,0.828607439994812,0.8588353395462036,344,1,232,90
fresh-resnet3d-34-3ch,1,24,0.7083333134651184,0.9444444179534912,0.4197530746459961,0.5811966061592102,0.852703332901001,0.8631070256233215,85,2,47,34,0.7091454267501831,0.9210526347160339,0.43478259444236755,0.5907173156738281,0.843955397605896,0.8480609059333801,333,12,182,140
fresh-resnet3d-34-3ch,2,21,0.6867470145225525,0.9666666388511658,0.36250001192092896,0.5272727012634277,0.8232558369636536,0.8357304334640503,85,1,51,29,0.6806596517562866,0.9160305261611938,0.3726707994937897,0.5298013091087341,0.8356737494468689,0.8433502316474915,334,11,202,120
fresh-resnet3d-34-3ch,3,48,0.6265060305595398,0.7647058963775635,0.32499998807907104,0.45614033937454224,0.7300872206687927,0.7164673805236816,78,8,54,26,0.6296851634979248,0.8571428656578064,0.27950310707092285,0.4215456545352936,0.7666125893592834,0.7670751214027405,330,15,232,90
fresh-resnet3d-34-3ch,4,33,0.658682644367218,0.9285714030265808,0.32098764181137085,0.47706422209739685,0.7550961971282959,0.802732527256012,84,2,55,26,0.6746626496315002,0.9268292784690857,0.35403725504875183,0.5123595595359802,0.7990908026695251,0.8159533143043518,336,9,208,114
fresh-resnet3d-50-1ch,1,13,0.6547619104385376,0.8965517282485962,0.32098764181137085,0.4727272689342499,0.7898396849632263,0.8075268864631653,84,3,55,26,0.6776611804962158,0.9279999732971191,0.3602484464645386,0.5190156698226929,0.8086416125297546,0.8289854526519775,336,9,206,116
fresh-resnet3d-50-1ch,2,25,0.6325300931930542,0.9130434989929199,0.26249998807907104,0.40776699781417847,0.7827035188674927,0.7943978309631348,84,2,59,21,0.6296851634979248,0.9518072009086609,0.24534161388874054,0.3901234567165375,0.7843640446662903,0.8049951791763306,341,4,243,79
fresh-resnet3d-50-1ch,3,29,0.6024096608161926,0.8888888955116272,0.20000000298023224,0.3265306055545807,0.8101744651794434,0.7833259105682373,84,2,64,16,0.6161919236183167,0.9125000238418579,0.2267080694437027,0.3631840944290161,0.768215000629425,0.7710636854171753,338,7,249,73
fresh-resnet3d-50-1ch,4,16,0.628742516040802,1.0,0.23456789553165436,0.3799999952316284,0.7627044916152954,0.7899846434593201,86,0,62,19,0.6131933927536011,0.9324324131011963,0.2142857164144516,0.3484848439693451,0.7802051901817322,0.7851995229721069,340,5,253,69
fresh-resnet3d-50-3ch,1,8,0.5654761791229248,1.0,0.09876543283462524,0.17977528274059296,0.7804739475250244,0.7855568528175354,87,0,73,8,0.5412293672561646,1.0,0.04968944191932678,0.09467455744743347,0.8129354119300842,0.8189272880554199,345,0,306,16
fresh-resnet3d-50-3ch,2,15,0.5843373537063599,1.0,0.13750000298023224,0.24175824224948883,0.8116279244422913,0.8313537836074829,86,0,69,11,0.5637181401252747,1.0,0.09627329558134079,0.1756373941898346,0.8102079033851624,0.8324968218803406,345,0,291,31
fresh-resnet3d-50-3ch,3,14,0.5662650465965271,1.0,0.10000000149011612,0.1818181872367859,0.8425871729850769,0.8540924191474915,86,0,72,8,0.5757121443748474,1.0,0.12111800909042358,0.21606647968292236,0.8311188817024231,0.8408918976783752,345,0,283,39
fresh-resnet3d-50-3ch,4,17,0.688622772693634,0.8372092843055725,0.4444444477558136,0.5806451439857483,0.7704564929008484,0.785081684589386,79,7,45,36,0.7016491889953613,0.8253968358039856,0.48447203636169434,0.6105675101280212,0.7743271589279175,0.7689156532287598,312,33,166,156
medicalnet-18,1,26,0.625,0.875,0.25925925374031067,0.4000000059604645,0.7440045475959778,0.7425832748413086,84,3,60,21,0.6416791677474976,0.9029126167297363,0.2888198792934418,0.4376470446586609,0.7698532342910767,0.7750728726387024,335,10,229,93
medicalnet-18,2,37,0.5240963697433472,1.0,0.012500000186264515,0.02469135820865631,0.7559592723846436,0.7683991193771362,86,0,79,1,0.5487256646156311,0.95652174949646,0.06832297891378403,0.12753623723983765,0.7590242028236389,0.7536661028862,344,1,300,22
medicalnet-18,3,39,0.6566265225410461,1.0,0.2874999940395355,0.446601927280426,0.856249988079071,0.8736488223075867,86,0,57,23,0.6401799321174622,0.9555555582046509,0.26708075404167175,0.41747573018074036,0.793464720249176,0.8127574920654297,341,4,236,86
medicalnet-18,4,42,0.6467065811157227,0.8666666746139526,0.32098764181137085,0.46846845746040344,0.7601205706596375,0.7933251261711121,82,4,55,26,0.6416791677474976,0.8672566413879395,0.30434781312942505,0.45057472586631775,0.7822036743164062,0.7842068076133728,330,15,224,98
medicalnet-34,1,33,0.6071428656578064,1.0,0.18518517911434174,0.3125,0.8143890500068665,0.8162283897399902,87,0,66,15,0.5952023863792419,1.0,0.16149067878723145,0.27807486057281494,0.8265730142593384,0.8312391042709351,345,0,270,52
medicalnet-34,2,29,0.5361445546150208,1.0,0.03750000149011612,0.07228915393352509,0.7248546481132507,0.7234320044517517,86,0,77,3,0.5517241358757019,0.9599999785423279,0.07453416287899017,0.13832853734493256,0.7654783725738525,0.7433711290359497,344,1,298,24
medicalnet-34,3,45,0.6807228922843933,0.8857142925262451,0.38749998807907104,0.539130449295044,0.7952035069465637,0.7768136858940125,82,4,49,31,0.6536731719970703,0.8640000224113464,0.3354037404060364,0.48322147130966187,0.7824196219444275,0.7650867104530334,328,17,214,108
