model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
fresh-medicalnet-18,1,34,0.843137264251709,0.3241758346557617,0.49166667461395264,0.3907284736633301,0.8206157684326172,0.29654428362846375,930,123,61,59,0.866057813167572,0.32258063554763794,0.5454545617103577,0.4054054021835327,0.8475762605667114,0.37488147616386414,1078,126,50,60
fresh-medicalnet-18,2,24,0.8747967481613159,0.3863636255264282,0.5964912176132202,0.4689655303955078,0.8865702152252197,0.47210073471069336,1008,108,46,68,0.8378995656967163,0.2582159638404846,0.5,0.3405572772026062,0.7859333157539368,0.2997714579105377,1046,158,55,55
fresh-medicalnet-18,3,36,0.8825878500938416,0.3448275923728943,0.36036035418510437,0.35242289304733276,0.8390300273895264,0.36322301626205444,1065,76,71,40,0.878995418548584,0.33986929059028625,0.4727272689342499,0.3954372704029083,0.8147915601730347,0.29309141635894775,1103,101,58,52
fresh-medicalnet-18,4,34,0.876884400844574,0.37016573548316956,0.6700000166893005,0.47686833143234253,0.878510057926178,0.5541377663612366,980,114,33,67,0.844748854637146,0.2956521809101105,0.6181818246841431,0.4000000059604645,0.8541905879974365,0.35654956102371216,1042,162,42,68
fresh-medicalnet-34,1,47,0.8610400557518005,0.3757225573062897,0.5416666865348816,0.44368600845336914,0.8345679044723511,0.41071850061416626,945,108,55,65,0.8652967810630798,0.3169398903846741,0.5272727012634277,0.39590445160865784,0.8426985740661621,0.35345256328582764,1079,125,52,58
fresh-medicalnet-34,2,46,0.9170731902122498,0.5731707215309143,0.41228070855140686,0.47959184646606445,0.8880636096000671,0.5172013640403748,1081,35,67,47,0.8972602486610413,0.3239436745643616,0.20909090340137482,0.2541436553001404,0.785865306854248,0.270405113697052,1156,48,87,23
fresh-medicalnet-34,3,22,0.8865814805030823,0.3719008266925812,0.4054054021835327,0.38793104887008667,0.8464914560317993,0.337772935628891,1065,76,66,45,0.8797564506530762,0.30645161867141724,0.34545454382896423,0.32478633522987366,0.8157655596733093,0.30284184217453003,1118,86,72,38
fresh-medicalnet-34,4,43,0.9229480624198914,0.5571428537368774,0.38999998569488525,0.4588235318660736,0.8696252703666687,0.48580339550971985,1063,31,61,39,0.8911719918251038,0.2461538463830948,0.145454540848732,0.18285714089870453,0.8365297317504883,0.27166512608528137,1155,49,94,16
fresh-medicalnet-50,1,28,0.8900255560874939,0.45945945382118225,0.42500001192092896,0.44155845046043396,0.8355649709701538,0.4280281066894531,993,60,69,51,0.8934550881385803,0.3828125,0.44545453786849976,0.4117647111415863,0.8538431525230408,0.37506282329559326,1125,79,61,49
fresh-medicalnet-50,2,9,0.9089431166648865,0.511904776096344,0.37719297409057617,0.4343434274196625,0.8817518949508667,0.4591522216796875,1075,41,71,43,0.9025875329971313,0.39024388790130615,0.290909081697464,0.3333333432674408,0.8528617024421692,0.33635324239730835,1154,50,78,32
fresh-medicalnet-50,3,18,0.9057508111000061,0.4533333480358124,0.30630630254745483,0.3655914068222046,0.8286946415901184,0.39162975549697876,1100,41,77,34,0.9041095972061157,0.3709677457809448,0.20909090340137482,0.26744186878204346,0.8477499485015869,0.32019734382629395,1165,39,87,23
fresh-medicalnet-50,4,16,0.8978224396705627,0.4098360538482666,0.5,0.45045045018196106,0.8698080778121948,0.5227463841438293,1022,72,50,50,0.9063926935195923,0.44144144654273987,0.44545453786849976,0.44343891739845276,0.8529900312423706,0.40562862157821655,1142,62,61,49
fresh-resnet3d-18-1ch,1,18,0.8542199730873108,0.35087719559669495,0.5,0.41237112879753113,0.8261396288871765,0.37366023659706116,942,111,60,60,0.8797564506530762,0.3461538553237915,0.4909090995788574,0.4060150384902954,0.8324599862098694,0.38715964555740356,1102,102,56,54
fresh-resnet3d-18-1ch,2,4,0.8845528364181519,0.3870967626571655,0.42105263471603394,0.40336135029792786,0.8588945269584656,0.35103896260261536,1040,76,66,48,0.8820395469665527,0.3308270573616028,0.4000000059604645,0.36213991045951843,0.8139647841453552,0.2733454704284668,1115,89,66,44
fresh-resnet3d-18-1ch,3,24,0.8905750513076782,0.37962964177131653,0.36936935782432556,0.37442922592163086,0.8460888266563416,0.3421167731285095,1074,67,70,41,0.8843227028846741,0.32203391194343567,0.34545454382896423,0.3333333432674408,0.8239731788635254,0.3338756263256073,1124,80,72,38
fresh-resnet3d-18-1ch,4,29,0.9036850929260254,0.4324324429035187,0.47999998927116394,0.45497629046440125,0.8646709322929382,0.495308518409729,1031,63,52,48,0.8805174827575684,0.3333333432674408,0.4272727370262146,0.3745020031929016,0.8127303123474121,0.3488885760307312,1110,94,63,47
fresh-resnet3d-18-3ch,1,11,0.8678601980209351,0.38410595059394836,0.4833333194255829,0.42804428935050964,0.8423551321029663,0.3975955843925476,960,93,62,58,0.8683409690856934,0.30188679695129395,0.4363636374473572,0.35687732696533203,0.8414979577064514,0.3558503985404968,1093,111,62,48
fresh-resnet3d-18-3ch,2,7,0.8959349393844604,0.42391303181648254,0.34210526943206787,0.3786407709121704,0.8543514013290405,0.3634032905101776,1063,53,75,39,0.8866057991981506,0.33043476939201355,0.34545454382896423,0.3377777636051178,0.8067728281021118,0.2692606449127197,1127,77,72,38
fresh-resnet3d-18-3ch,3,25,0.8961661458015442,0.4040403962135315,0.36036035418510437,0.380952388048172,0.8485207557678223,0.37949493527412415,1082,59,71,40,0.9041095972061157,0.4047619104385376,0.30909091234207153,0.3505154550075531,0.8338870406150818,0.3292100429534912,1154,50,76,34
fresh-resnet3d-18-3ch,4,19,0.8710217475891113,0.35789474844932556,0.6800000071525574,0.4689655303955078,0.878180980682373,0.48726895451545715,972,122,32,68,0.8378995656967163,0.278969943523407,0.5909090638160706,0.3790087401866913,0.848301112651825,0.368202269077301,1036,168,45,65
fresh-resnet3d-34-1ch,1,24,0.8559249639511108,0.3615819215774536,0.5333333611488342,0.43097642064094543,0.8416587114334106,0.3704203963279724,940,113,56,64,0.8729071617126465,0.35078534483909607,0.6090909242630005,0.4451827108860016,0.8374660015106201,0.35077840089797974,1080,124,43,67
fresh-resnet3d-34-1ch,2,31,0.8861788511276245,0.4097222089767456,0.5175438523292542,0.45736435055732727,0.8673914074897766,0.4557686448097229,1031,85,55,59,0.8652967810630798,0.2866241931915283,0.40909090638160706,0.33707866072654724,0.8057233095169067,0.30210384726524353,1092,112,65,45
fresh-resnet3d-34-1ch,3,45,0.909744381904602,0.49056604504585266,0.46846845746040344,0.47926267981529236,0.8506051301956177,0.44406235218048096,1087,54,59,52,0.8987823724746704,0.3925233781337738,0.38181817531585693,0.3870967626571655,0.8294925689697266,0.37855103611946106,1139,65,68,42
fresh-resnet3d-34-1ch,4,20,0.910385251045227,0.46464645862579346,0.46000000834465027,0.4623115658760071,0.8666362166404724,0.5108742117881775,1041,53,54,46,0.9018265008926392,0.4000000059604645,0.34545454382896423,0.3707317113876343,0.8345062732696533,0.3676547408103943,1147,57,72,38
fresh-resnet3d-34-3ch,1,24,0.8499573469161987,0.3571428656578064,0.5833333134651184,0.4430379867553711,0.8509496450424194,0.3761036992073059,927,126,50,70,0.8607305884361267,0.32367148995399475,0.6090909242630005,0.42271292209625244,0.8424267172813416,0.362184077501297,1064,140,43,67
fresh-resnet3d-34-3ch,2,21,0.9024389982223511,0.4722222089767456,0.44736841320991516,0.45945945382118225,0.8755345344543457,0.4404028356075287,1059,57,63,51,0.878995418548584,0.3185185194015503,0.3909091055393219,0.3510203957557678,0.8372093439102173,0.34546738862991333,1112,92,67,43
fresh-resnet3d-34-3ch,3,48,0.9025558829307556,0.4444444477558136,0.3963963985443115,0.41904762387275696,0.8514421582221985,0.40989235043525696,1086,55,67,44,0.8972602486610413,0.3655914068222046,0.30909091234207153,0.33497536182403564,0.7963756918907166,0.30565309524536133,1145,59,76,34
fresh-resnet3d-34-3ch,4,33,0.8978224396705627,0.4202898442745209,0.5799999833106995,0.48739495873451233,0.8612980246543884,0.5059407949447632,1014,80,42,58,0.8759512901306152,0.331210196018219,0.4727272689342499,0.3895131051540375,0.837934136390686,0.3574537932872772,1099,105,58,52
fresh-resnet3d-50-1ch,1,13,0.8653026223182678,0.3733333349227905,0.46666666865348816,0.4148148000240326,0.8258389234542847,0.4222746789455414,959,94,64,56,0.8713850975036621,0.33142855763435364,0.5272727012634277,0.4070175290107727,0.8641951084136963,0.3842589557170868,1087,117,52,58
fresh-resnet3d-50-1ch,2,25,0.8999999761581421,0.4399999976158142,0.28947368264198303,0.3492063581943512,0.8502326607704163,0.41191568970680237,1074,42,81,33,0.8972602486610413,0.3684210479259491,0.3181818127632141,0.3414634168148041,0.8042359352111816,0.3075149953365326,1144,60,75,35
fresh-resnet3d-50-1ch,3,29,0.8985623121261597,0.40697672963142395,0.315315306186676,0.3553299605846405,0.8407355546951294,0.41208741068840027,1090,51,76,35,0.891933023929596,0.3333333432674408,0.290909081697464,0.3106796145439148,0.8097025156021118,0.29779574275016785,1140,64,78,32
fresh-resnet3d-50-1ch,4,16,0.9170854091644287,0.5058823823928833,0.4300000071525574,0.4648648500442505,0.8814717531204224,0.49897056818008423,1052,42,57,43,0.8964992165565491,0.3645833432674408,0.3181818127632141,0.33980581164360046,0.8308970928192139,0.3165075182914734,1143,61,75,35
fresh-resnet3d-50-3ch,1,8,0.9002557396888733,0.5555555820465088,0.125,0.20408163964748383,0.8100190162658691,0.3995057940483093,1041,12,105,15,0.9185692667961121,0.5789473652839661,0.10000000149011612,0.1705426424741745,0.8019102811813354,0.3308257460594177,1196,8,99,11
fresh-resnet3d-50-3ch,2,15,0.9186992049217224,0.6944444179534912,0.21929824352264404,0.3333333432674408,0.8702839016914368,0.4800882935523987,1105,11,89,25,0.913241982460022,0.44736841320991516,0.15454545617103577,0.22972972691059113,0.8217079043388367,0.33657336235046387,1183,21,93,17
fresh-resnet3d-50-3ch,3,14,0.9161341786384583,0.5882353186607361,0.18018017709255219,0.27586206793785095,0.8494840860366821,0.39583665132522583,1127,14,91,20,0.9147641062736511,0.47727271914482117,0.19090908765792847,0.27272728085517883,0.8446239829063416,0.3392837643623352,1181,23,89,21
fresh-resnet3d-50-3ch,4,17,0.8542713522911072,0.3072916567325592,0.5899999737739563,0.4041095972061157,0.859332799911499,0.4397212266921997,961,133,41,59,0.835616409778595,0.2735042870044708,0.581818163394928,0.3720930218696594,0.8452959656715393,0.2883443832397461,1034,170,46,64
medicalnet-18,1,26,0.8635976314544678,0.379518061876297,0.5249999761581421,0.440559446811676,0.8268280625343323,0.373557448387146,950,103,57,63,0.8622526526451111,0.31216931343078613,0.5363636612892151,0.39464882016181946,0.8155165314674377,0.35379672050476074,1074,130,51,59
medicalnet-18,2,37,0.9211382269859314,0.6231883764266968,0.37719297409057617,0.46994534134864807,0.8838505744934082,0.5325261354446411,1090,26,71,43,0.9109588861465454,0.4313725531101227,0.20000000298023224,0.2732919156551361,0.8213908672332764,0.32400599122047424,1175,29,88,22
medicalnet-18,3,39,0.9057508111000061,0.470085471868515,0.4954954981803894,0.48245614767074585,0.8708497881889343,0.44323885440826416,1079,62,56,55,0.8805174827575684,0.32846716046333313,0.40909090638160706,0.36437246203422546,0.8314330577850342,0.31813472509384155,1112,92,65,45
medicalnet-18,4,42,0.8986599445343018,0.42222222685813904,0.5699999928474426,0.48510637879371643,0.8726782202720642,0.5425616502761841,1016,78,43,57,0.8805174827575684,0.3401360511779785,0.4545454680919647,0.38910505175590515,0.8524690866470337,0.37204933166503906,1107,97,60,50
medicalnet-34,1,33,0.8985507488250732,0.508474588394165,0.25,0.33519554138183594,0.8463754057884216,0.4200236201286316,1024,29,90,30,0.9140030145645142,0.4776119291782379,0.290909081697464,0.3615819215774536,0.8352007865905762,0.3818335235118866,1169,35,78,32
medicalnet-34,2,29,0.9056910276412964,0.4833333194255829,0.25438597798347473,0.3333333432674408,0.8945167660713196,0.48057109117507935,1085,31,85,29,0.9063926935195923,0.3617021143436432,0.15454545617103577,0.2165605127811432,0.8251811861991882,0.2635978162288666,1174,30,93,17
